0.48	-2.18	3.32	542
0.44	-2.15	3.34	621
0.45	-2.19	3.32	643
0.44	-2.18	3.36	663
0.43	-2.14	3.38	685
0.47	-2.16	3.37	709
0.47	-2.16	3.37	731
0.46	-2.16	3.37	751
0.44	-2.15	3.36	774
0.44	-2.19	3.36	796
0.46	-2.16	3.36	819
0.46	-2.14	3.37	839
0.47	-2.13	3.38	862
0.44	-2.18	3.35	884
0.42	-2.15	3.35	907
0.47	-2.16	3.36	927
0.47	-2.14	3.41	949
0.46	-2.16	3.37	972
0.44	-2.16	3.37	994
0.42	-2.20	3.34	1015
0.43	-2.13	3.38	1038
0.45	-2.14	3.38	1061
0.43	-2.19	3.34	1084
0.44	-2.16	3.35	1104
0.45	-2.12	3.38	1131
0.48	-2.19	3.34	1155
0.41	-2.20	3.35	1176
0.44	-2.14	3.39	1197
0.46	-2.13	3.36	1222
0.46	-2.19	3.35	1246
0.43	-2.19	3.34	1267
0.44	-2.13	3.39	1288
0.47	-2.15	3.37	1312
0.43	-2.20	3.34	1335
0.46	-2.15	3.38	1356
0.48	-2.11	3.40	1378
0.46	-2.18	3.39	1401
0.44	-2.21	3.34	1425
0.44	-2.15	3.38	1445
0.47	-2.13	3.36	1467
0.46	-2.17	3.34	1490
0.45	-2.18	3.34	1514
0.45	-2.16	3.39	1536
0.46	-2.16	3.35	1556
0.46	-2.18	3.34	1581
0.46	-2.16	3.37	1604
0.47	-2.13	3.39	1625
0.45	-2.15	3.36	1650
0.45	-2.18	3.36	1674
0.46	-2.15	3.38	1695
0.44	-2.15	3.36	1717
0.46	-2.16	3.36	1739
0.46	-2.17	3.36	1763
0.42	-2.16	3.38	1785
0.47	-2.16	3.35	1807
0.46	-2.17	3.36	1829
0.46	-2.16	3.39	1853
0.46	-2.17	3.36	1874
0.47	-2.17	3.36	1896
0.46	-2.16	3.38	1918
0.45	-2.15	3.36	1942
0.45	-2.16	3.36	1965
0.45	-2.16	3.36	1986
0.46	-2.16	3.36	2009
0.45	-2.14	3.38	2032
0.45	-2.16	3.35	2055
0.45	-2.18	3.37	2075
0.47	-2.17	3.35	2098
0.46	-2.15	3.35	2122
0.46	-2.16	3.34	2144
0.45	-2.14	3.36	2169
0.44	-2.14	3.37	2192
0.46	-2.18	3.36	2214
0.46	-2.18	3.34	2236
0.46	-2.17	3.37	2258
0.48	-2.15	3.36	2281
0.44	-2.17	3.37	2304
0.44	-2.16	3.36	2326
0.45	-2.16	3.37	2349
0.46	-2.16	3.36	2371
0.44	-2.19	3.35	2394
0.47	-2.14	3.36	2415
0.46	-2.15	3.35	2438
0.47	-2.19	3.33	2460
0.46	-2.19	3.34	2483
0.46	-2.14	3.38	2505
0.41	-2.16	3.36	2528
0.44	-2.16	3.36	2550
0.47	-2.16	3.36	2573
0.48	-2.16	3.35	2594
0.45	-2.18	3.34	2618
0.40	-2.14	3.35	2639
0.46	-2.18	3.35	2662
0.46	-2.17	3.34	2684
0.48	-2.17	3.35	2712
0.44	-2.14	3.37	2755
0.45	-2.16	3.35	2779
0.45	-2.16	3.36	2802
0.46	-2.14	3.38	2825
0.46	-2.16	3.35	2846
0.46	-2.17	3.36	2870
0.44	-2.18	3.35	2893
0.45	-2.17	3.35	2916
0.48	-2.17	3.36	2937
0.44	-2.16	3.36	2960
0.46	-2.16	3.37	2983
0.46	-2.15	3.37	3006
0.45	-2.18	3.34	3026
0.46	-2.18	3.36	3049
0.45	-2.14	3.36	3073
0.47	-2.13	3.36	3095
0.46	-2.19	3.35	3117
0.45	-2.16	3.34	3139
0.46	-2.15	3.38	3163
0.46	-2.14	3.38	3185
0.45	-2.19	3.35	3206
0.46	-2.16	3.35	3228
0.47	-2.16	3.36	3255
0.46	-2.16	3.35	3276
0.46	-2.19	3.34	3298
0.44	-2.16	3.39	3322
0.45	-2.14	3.38	3346
0.47	-2.17	3.36	3368
0.45	-2.18	3.35	3394
0.47	-2.17	3.37	3417
0.46	-2.18	3.36	3438
0.47	-2.19	3.36	3462
0.46	-2.16	3.37	3484
0.47	-2.14	3.36	3507
0.46	-2.16	3.35	3529
0.46	-2.18	3.35	3552
0.47	-2.17	3.37	3573
0.46	-2.17	3.35	3596
0.46	-2.17	3.35	3618
0.46	-2.17	3.35	3641
0.48	-2.16	3.35	3663
0.46	-2.16	3.35	3686
0.47	-2.18	3.34	3708
0.47	-2.16	3.36	3731
0.44	-2.16	3.38	3753
0.46	-2.16	3.34	3778
0.44	-2.18	3.36	3802
0.46	-2.15	3.35	3824
0.46	-2.13	3.34	3845
0.45	-2.16	3.37	3868
0.47	-2.19	3.36	3892
0.44	-2.15	3.35	3913
0.47	-2.17	3.36	3935
0.44	-2.17	3.34	3957
0.45	-2.17	3.36	3981
0.45	-2.16	3.37	4003
0.47	-2.15	3.36	4025
0.48	-2.18	3.35	4047
0.46	-2.17	3.36	4071
0.46	-2.16	3.38	4093
0.46	-2.16	3.34	4115
0.45	-2.18	3.37	4137
0.46	-2.16	3.37	4161
0.48	-2.14	3.38	4184
0.46	-2.18	3.36	4204
0.45	-2.19	3.36	4227
0.47	-2.15	3.35	4251
0.48	-2.16	3.36	4273
0.47	-2.18	3.36	4294
0.46	-2.17	3.36	4321
0.45	-2.17	3.34	4344
0.45	-2.14	3.19	4366
0.40	-2.07	2.76	4386
0.31	-2.00	4.45	4411
0.39	-1.99	2.83	4434
0.75	-2.16	3.26	4455
0.40	-2.02	3.55	4476
0.44	-2.13	3.14	4500
0.41	-2.09	3.46	4524
0.42	-2.61	2.94	4545
0.62	-2.35	3.26	4567
0.43	-1.72	3.62	4590
0.57	-2.68	3.45	4614
0.20	-1.64	3.48	4635
-0.22	-2.53	3.44	4657
0.17	-2.12	3.52	4680
-0.18	-2.07	3.38	4705
0.86	-2.92	3.40	4726
0.21	-2.07	3.55	4747
0.05	-2.20	3.34	4771
0.26	-2.29	3.38	4795
0.27	-2.37	3.28	4815
0.20	-2.20	3.30	4841
0.21	-2.20	3.38	4865
0.22	-2.13	3.61	4887
0.20	-2.18	3.29	4908
0.20	-2.16	3.37	4931
0.20	-2.15	3.43	4955
0.21	-2.16	3.40	4976
0.28	-2.25	3.29	4998
0.19	-2.20	3.36	5020
0.20	-2.18	3.39	5044
0.20	-1.88	3.55	5066
0.08	-2.26	3.12	5088
0.13	-2.23	3.38	5110
0.21	-2.26	3.34	5134
0.25	-2.32	3.28	5156
0.25	-2.23	3.29	5179
0.20	-2.21	3.34	5223
0.21	-2.23	3.36	5248
0.19	-2.22	3.33	5270
0.20	-2.21	3.37	5292
0.18	-2.41	3.11	5314
0.25	-2.28	3.29	5339
0.18	-2.24	3.37	5361
0.19	-2.21	3.35	5386
0.17	-2.24	3.34	5409
0.20	-2.21	3.35	5432
0.20	-2.22	3.35	5453
0.20	-2.22	3.34	5477
0.21	-2.23	3.35	5500
0.20	-2.21	3.35	5523
0.21	-2.23	3.36	5545
0.20	-2.23	3.33	5568
0.20	-2.23	3.33	5591
0.19	-2.15	3.35	5613
0.28	-2.25	3.34	5635
0.17	-2.23	3.38	5657
0.19	-2.22	3.35	5680
0.20	-2.21	3.33	5702
0.21	-2.23	3.33	5725
0.20	-2.39	3.46	5747
0.18	-2.15	3.37	5770
0.16	-2.14	3.38	5792
0.19	-2.32	3.37	5814
0.21	-2.22	3.41	5836
0.14	-2.21	3.37	5859
0.11	-2.24	3.36	5881
0.07	-2.18	3.50	5907
0.17	-2.09	3.76	5929
-0.19	-2.55	3.42	5951
1.04	-1.86	2.77	5974
1.04	-2.11	3.63	5997
0.18	-2.13	3.34	6020
0.62	-2.21	3.20	6040
0.58	-2.34	3.32	6063
0.52	-2.21	3.42	6086
0.50	-2.20	3.25	6109
0.55	-2.21	3.32	6131
0.54	-2.23	3.33	6158
0.52	-2.22	3.31	6180
0.52	-2.21	3.32	6204
0.51	-2.22	3.32	6226
0.53	-2.22	3.33	6249
0.51	-2.23	3.33	6272
0.52	-2.21	3.31	6294
0.52	-2.21	3.34	6317
0.52	-2.21	3.30	6339
0.53	-2.21	3.31	6361
0.53	-2.21	3.31	6383
0.52	-2.21	3.34	6406
0.53	-2.21	3.31	6428
0.53	-2.20	3.32	6455
0.52	-2.22	3.29	6476
0.52	-2.21	3.34	6498
0.52	-2.20	3.32	6520
0.53	-2.20	3.31	6544
0.51	-2.21	3.32	6565
0.52	-2.22	3.30	6587
0.52	-2.21	3.29	6609
0.52	-2.22	3.30	6633
0.52	-2.21	3.31	6656
0.53	-2.23	3.32	6677
0.52	-2.21	3.32	6700
0.53	-2.21	3.31	6723
0.53	-2.20	3.31	6746
0.52	-2.22	3.32	6766
0.52	-2.20	3.35	6789
0.54	-2.21	3.31	6812
0.53	-2.21	3.35	6835
0.53	-2.21	3.35	6856
0.52	-2.20	3.34	6879
0.52	-2.21	3.32	6902
0.50	-2.21	3.32	6925
0.52	-2.21	3.32	6945
0.53	-2.20	3.31	6967
0.52	-2.22	3.33	6990
0.51	-2.21	3.34	7013
