	-0.32	-0.92	2387
0.24	-0.31	-0.92	3316
0.22	-0.31	-0.93	3321
0.22	-0.31	-0.92	3326
0.22	-0.31	-0.93	3332
0.21	-0.32	-0.92	3336
0.21	-0.32	-0.93	3341
0.21	-0.32	-0.93	3346
0.21	-0.31	-0.93	3351
0.22	-0.31	-0.93	3355
0.22	-0.31	-0.94	3360
0.23	-0.31	-0.95	3365
0.22	-0.31	-0.95	3371
0.23	-0.31	-0.94	3376
0.24	-0.32	-0.95	3380
0.23	-0.31	-0.94	3385
0.24	-0.32	-0.94	3390
0.25	-0.33	-0.94	3395
0.25	-0.33	-0.94	3400
0.24	-0.33	-0.95	3405
0.25	-0.33	-0.96	3410
0.25	-0.32	-0.96	3415
0.25	-0.32	-0.98	3420
0.23	-0.32	-1.00	3425
0.22	-0.31	-1.01	3430
0.21	-0.30	-1.03	3435
0.20	-0.29	-1.04	3439
0.19	-0.30	-1.06	3444
0.19	-0.30	-1.07	3449
0.19	-0.30	-1.09	3454
0.19	-0.31	-1.09	3460
0.20	-0.31	-1.08	3465
0.19	-0.32	-1.06	3470
0.19	-0.33	-1.06	3475
0.21	-0.34	-1.07	3479
0.22	-0.34	-1.05	3484
0.23	-0.34	-1.04	3489
0.24	-0.35	-1.04	3494
0.23	-0.35	-1.04	3500
0.21	-0.35	-1.05	3504
0.20	-0.34	-1.06	3509
0.19	-0.35	-1.07	3514
0.17	-0.33	-1.08	3519
0.17	-0.32	-1.10	3524
0.16	-0.31	-1.10	3528
0.16	-0.31	-1.12	3533
0.13	-0.32	-1.13	3538
0.13	-0.31	-1.13	3544
0.14	-0.30	-1.13	3549
0.14	-0.30	-1.12	3554
0.14	-0.29	-1.12	3559
0.14	-0.30	-1.12	3563
0.14	-0.29	-1.13	3568
0.14	-0.29	-1.13	3573
0.12	-0.28	-1.12	3578
0.14	-0.29	-1.13	3582
0.12	-0.29	-1.13	3588
0.12	-0.29	-1.13	3593
0.11	-0.28	-1.13	3598
0.10	-0.28	-1.13	3603
0.09	-0.26	-1.13	3608
0.10	-0.28	-1.10	3613
0.18	-0.29	-1.12	3617
